,id,original_title,original_language,release_date,popularity,vote_average,vote_count,media_type,adult
12168,95558,,English,,64.625,8,8,1,0
12169,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,0,0
12170,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,0,0
12171,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,0,0
12172,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,0,0
12173,158876,,Chinese,,58.304,8.4,9,1,0
12174,921355,Assassin,English,3/31/2023,80.805,4.8,11,0,0
12175,117465,,Japanese,,62.392,10,4,1,0
12176,933419,Champions,English,3/9/2023,104.315,6.512,43,0,0
12177,208891,,Japanese,,59.825,8.667,3,1,0
12178,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,0,0
12179,82856,,English,,1108.646,8.488,8697,1,0
12180,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,0,0
12181,677179,Creed III,English,3/1/2023,1537.879,7.2,561,0,0
12182,726759,Tetris,English,3/15/2023,66.661,7.7,100,0,0
12183,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,0,0
12184,849869,길복순,Korean,2/17/2023,33.985,6.9,39,0,0
12185,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,0,0
12186,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,0,0
12187,932430,Prom Pact,English,3/30/2023,85.403,8,10,0,0
12188,95558,,English,,64.625,8,8,1,0
12189,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,0,0
12190,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,0,0
12191,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,0,0
12192,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,0,0
12193,158876,,Chinese,,58.304,8.4,9,1,0
12194,921355,Assassin,English,3/31/2023,80.805,4.8,11,0,0
12195,117465,,Japanese,,62.392,10,4,1,0
12196,933419,Champions,English,3/9/2023,104.315,6.512,43,0,0
12197,208891,,Japanese,,59.825,8.667,3,1,0
12198,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,0,0
12199,82856,,English,,1108.646,8.488,8697,1,0
12200,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,0,0
12201,677179,Creed III,English,3/1/2023,1537.879,7.2,561,0,0
12202,726759,Tetris,English,3/15/2023,66.661,7.7,100,0,0
12203,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,0,0
12204,849869,길복순,Korean,2/17/2023,33.985,6.9,39,0,0
12205,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,0,0
12206,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,0,0
12207,932430,Prom Pact,English,3/30/2023,85.403,8,10,0,0
12208,95558,,English,,64.625,8,8,1,0
12209,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,0,0
12210,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,0,0
12211,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,0,0
12212,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,0,0
12213,158876,,Chinese,,58.304,8.4,9,1,0
12214,921355,Assassin,English,3/31/2023,80.805,4.8,11,0,0
12215,117465,,Japanese,,62.392,10,4,1,0
12216,933419,Champions,English,3/9/2023,104.315,6.512,43,0,0
12217,208891,,Japanese,,59.825,8.667,3,1,0
12218,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,0,0
12219,82856,,English,,1108.646,8.488,8697,1,0
12220,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,0,0
12221,677179,Creed III,English,3/1/2023,1537.879,7.2,561,0,0
12222,726759,Tetris,English,3/15/2023,66.661,7.7,100,0,0
12223,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,0,0
12224,849869,길복순,Korean,2/17/2023,33.985,6.9,39,0,0
12225,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,0,0
12226,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,0,0
12227,932430,Prom Pact,English,3/30/2023,85.403,8,10,0,0
12228,95558,,English,,64.625,8,8,1,0
12229,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,0,0
12230,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,0,0
12231,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,0,0
12232,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,0,0
12233,158876,,Chinese,,58.304,8.4,9,1,0
12234,921355,Assassin,English,3/31/2023,80.805,4.8,11,0,0
12235,117465,,Japanese,,62.392,10,4,1,0
12236,933419,Champions,English,3/9/2023,104.315,6.512,43,0,0
12237,208891,,Japanese,,59.825,8.667,3,1,0
12238,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,0,0
12239,82856,,English,,1108.646,8.488,8697,1,0
