,id,original_title,original_language,release_date,popularity,vote_average,vote_count,media_type,adult
12471,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,0,0
12472,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,0,0
12473,158876,,Chinese,,58.304,8.4,9,1,0
12474,921355,Assassin,English,3/31/2023,80.805,4.8,11,0,0
12475,117465,,Japanese,,62.392,10,4,1,0
12476,933419,Champions,English,3/9/2023,104.315,6.512,43,0,0
12477,208891,,Japanese,,59.825,8.667,3,1,0
12478,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,0,0
12479,82856,,English,,1108.646,8.488,8697,1,0
12480,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,0,0
12481,677179,Creed III,English,3/1/2023,1537.879,7.2,561,0,0
12482,726759,Tetris,English,3/15/2023,66.661,7.7,100,0,0
12483,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,0,0
12484,849869,길복순,Korean,2/17/2023,33.985,6.9,39,0,0
12485,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,0,0
12486,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,0,0
12487,932430,Prom Pact,English,3/30/2023,85.403,8,10,0,0
12488,95558,,English,,64.625,8,8,1,0
12489,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,0,0
12490,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,0,0
12491,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,0,0
12492,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,0,0
12493,158876,,Chinese,,58.304,8.4,9,1,0
12494,921355,Assassin,English,3/31/2023,80.805,4.8,11,0,0
12495,117465,,Japanese,,62.392,10,4,1,0
12496,933419,Champions,English,3/9/2023,104.315,6.512,43,0,0
12497,208891,,Japanese,,59.825,8.667,3,1,0
12498,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,0,0
12499,82856,,English,,1108.646,8.488,8697,1,0
12500,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,0,0
12501,677179,Creed III,English,3/1/2023,1537.879,7.2,561,0,0
12502,726759,Tetris,English,3/15/2023,66.661,7.7,100,0,0
12503,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,0,0
12504,849869,길복순,Korean,2/17/2023,33.985,6.9,39,0,0
12505,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,0,0
12506,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,0,0
12507,932430,Prom Pact,English,3/30/2023,85.403,8,10,0,0
12508,95558,,English,,64.625,8,8,1,0
12509,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,0,0
12510,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,0,0
12511,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,0,0
12512,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,0,0
12513,158876,,Chinese,,58.304,8.4,9,1,0
12514,921355,Assassin,English,3/31/2023,80.805,4.8,11,0,0
12515,117465,,Japanese,,62.392,10,4,1,0
12516,933419,Champions,English,3/9/2023,104.315,6.512,43,0,0
12517,208891,,Japanese,,59.825,8.667,3,1,0
12518,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,0,0
12519,82856,,English,,1108.646,8.488,8697,1,0
12520,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,0,0
12521,677179,Creed III,English,3/1/2023,1537.879,7.2,561,0,0
12522,726759,Tetris,English,3/15/2023,66.661,7.7,100,0,0
