ttnamettker,Subscribers count,Views avg.,Likes avg,Comments avg.,Shares avg
gehadhassann|Gehad hassan👸🏻,7300000,1400000,177000,3500,10700
dudamaryah|dudamaryah,4100000,3000000,340700,2000,1400
the.revival|Revival,392800,2200000,283800,1200,4400
gavinmagnus|GavinMagnus,5200000,2000000,254900,6400,412
ermmm.umm|user569215425698,2100,1900000,254500,2300,4800
thegerbers_|🧡Маша и Роберт🧡,5300000,3700000,375300,2100,344
hiagodosvideos|Hiago Marques,1200000,2600000,365400,2000,1600
andweaso|Andrea,5900000,3000000,542100,1200,884
luisvelody|Luis Velody,6200000,3300000,459900,910,1300
yoshi30244781481|にっしー,3900000,4000000,409600,1200,837
the_joe_gatto|joe_gatto,6500000,2900000,247700,1400,3200
frankielapenna|Frankie LaPenna,1800000,4900000,411700,735,943
.diana__tc|Diana TC,2900000,3200000,348700,1900,1100
matsudake|M2DK/マツダ家の日常,4700000,8100000,199800,1200,833
anokhinalz|Аnokhina Liza,35600000,2800000,374000,2800,379
mranto|Anto Garcia,8200000,6500000,274700,1300,570
iheartmemphis|iHeartMemphis🔥,12500000,4300000,260200,2300,687
sobrevivente13|Edelson Ribeiro,4100000,2200000,188300,1700,6200
pam_a_cake|Pam,4100000,3500000,487400,1600,334
ardkth|𝐊𝐢𝐦 𝐀𝐑𝐝,1300000,1100000,350400,2000,6500
cemresolmaz|cemre solmaz,10200000,2200000,180900,7200,976
philipdefranco|Philip DeFranco,1900000,2500000,319200,2800,1300
otakoyakisoba|otakoyakisoba,14100000,2800000,278800,1800,2300
freeritzyralph|Ritzyralph,1400000,1500000,375400,3300,2400
jhothsa|jhothsa,12300000,1700000,224700,1700,6700
icebox|icebox,6200000,3000000,277200,3300,517
tatiana1964_2|Татьяна,31000,1700000,12400,207,151800
nmixx_official|NMIXX,1100000,1600000,318500,4200,2100
bmbsh7|بمبش السيد♦️bimbsh♦️,3800000,1800000,289500,3800,2300
jackjos3ph|Jack Joseph,2400000,1400000,246300,3500,5700
bikedasher|Patrick,2200000,3300000,370400,2200,427
benjikrol|Benji Krol,30300000,2400000,338900,3400,488
djmariio|DjMaRiiO,983800,2200000,329200,1300,3000
reeh__augusto|Reeh Augusto,3700000,2100000,371800,2500,1600
onlyjayus|Bella Avila,17600000,2300000,344700,2600,1300
sabrinacarpenter|Sabrina Carpenter,12000000,2200000,298800,2800,1900
barbaracoura|Bárbara Coura,8000000,2400000,384300,2200,1200
ngikuttrendaja|Ahmad Rizki,192800,3700000,304500,1500,1200
rayssabuq|Rayssa Buq,5400000,1800000,326800,2600,2600
olisboa|LISBOA,612000,3000000,505000,944,1100
mimiermakeup|Mirta Miler,14500000,2700000,448600,2200,367
verycooll_real|Very Cool,1400000,3100000,234500,1300,3000
just.hamilton|Just Hamilton,2300000,1700000,271600,2900,3900
michou_yt|Michou,6700000,3600000,256400,2800,456
gregisms|Gregisms’ Neighborhood,2200000,975500,168000,6700,11600
butt.erhand|Lucie,176400,2200000,201500,514,6200
gbandme|GB and ME,5700000,1600000,250100,4800,2700
fransfaisal_real|frans faisal,272900,2500000,278800,3300,926
officialjellyroll|Jelly Roll,2400000,2300000,290800,2600,1800
lossiblings_|Lossiblings🍭,23600000,2800000,396900,1800,863
davidgetial|deivis,13300000,3200000,439400,1800,302
zodiac.boyfriend|Zodiac Boyfriend🪐🔮,1600000,1600000,219700,3600,4700
michellerenaud|Michelle Renaud,2300000,4200000,357800,1100,801
kelvin__silvaa|Kelvin__silvaaa,3400000,2000000,163600,1100,7700
user4350486101671|user4350486101671,16200000,1600000,302300,4700,1300
jeison_giraldo|JeisonGiraldo,24600000,3400000,426500,1700,300
chrisdelia|ChrisDElia,1700000,1800000,268500,643,5500
lightskinkeisha|LightSkinKeisha,1900000,2000000,303200,1200,3500
larasilvan|Tik Toker,15900000,1800000,351300,3400,1100
la_lerma|LERMITA,11600000,2700000,354300,1200,1800
duolingo|Duolingo,3400000,1500000,281100,4500,2300
danythegaggio|Daniele Cabras,2700000,1400000,214200,1700,7800
dari_wadha_home|Dari_wadha_home,1400000,2900000,182100,2400,2900
pkllipe|Pk,16500000,2200000,383900,1600,1800
aloserishere_|𝙇𝙤𝙨𝙚𝙧.,159400,1100000,165500,6600,8800
olivertree|Oliver Tree,12500000,3000000,324100,1800,1100
lonely.moods|:),354500,815500,214000,5400,10600
jessnolimit999|Jess No Limit,5300000,2700000,264700,3100,877
sooshimango|Sooshi Mango,483400,1100000,100700,3500,21700
spider_slack|spider_slack,31600000,2600000,314300,1700,1700
realmadrid|Real Madrid C.F.,11700000,2100000,300500,3000,1500
leanadeeb|Leana Deeb,4200000,2600000,426900,1000,1500
jonathanbecerraoficial|Jonathan Becerra,1200000,2300000,173400,1500,5500
officialturk|Officialturk,26100,1100000,237000,7500,3400
isabuenox|Isabelle Bueno,2800000,1900000,410400,2500,1000
peachypollo|Emillee,1400000,2300000,480600,749,1700
monabouchon_|Monabouchon,139100,1500000,127600,468,13700
monabouchon_|Monabouchon,139100,1500000,127600,468,13700
reymbayang|Rey,3300000,2300000,273300,1900,2400
noahbeck|noah beck,32800000,2900000,342700,2300,439
limaunipisofficial|limaunipisofficial,602600,1500000,107700,1300,15400
therealhammytv|TheRealHammyTV,13300000,3700000,156500,884,3800
matheusevitoriaofc|Matheus e Vitoria,6900000,2000000,317900,2200,2000
7iprast|𝗶𝗡𝗦𝗢𝗠,3600000,1700000,163500,1100,8600
oli_natu|Oli Natu,7900000,2900000,408300,1200,1100
sebbylaz|Seb Laz,4100000,1800000,238600,5500,894
r___.89|𝑀𝑖𝑠𝑡𝑒𝑟 𝑅𝑒𝑒𝑚𝑎 😾✨.,3500000,1800000,299800,3800,1300
anwar|Anwar Jibawi,11700000,2500000,275900,1300,2500
blake.snider|Blake Snider,4600,2800000,150700,967,5500
alejwho|Alejandro,983500,1500000,279100,2500,4100
anitta|Anitta,17200000,3800000,263400,1600,1000
tangychu|Танги штоле,20900,1300000,259400,2100,5700
newt|newt,9400000,2300000,378500,1400,1600
brookemonk_|Brooke Monk,19000000,2700000,339600,2000,867
psg|psg,25300000,2700000,319200,2200,777
roy.0fficial|Roy.official,290800,1200000,108400,432,19600
nicollefigueroaa|Nicolle Figueroa,9600000,2500000,343000,2500,546
ucgj7|☝️Биполярочка👆,1500000,1800000,179800,6200,1800
startup.mp4|startup.mp4,98000,944300,246600,4700,6400
beca|Rebeca Barreto,21900000,2300000,297700,3000,819
glebpiano|Глеб Пьяных,457300,3000000,75000,3100,8400
emilyfauver|emily&ella,3300000,2500000,377900,1300,1500
mikaylanogueira|Mikayla Nogueira,11200000,2200000,323800,3000,657
ivanovik.83|ivanovik.1983,172700,2300000,91500,1100,11100
francis.bourgeois|Francis Bourgeois,2300000,2000000,193000,1600,5000
kaan.etm|Kaan,2600000,2000000,358400,2800,807
ramonvitor|ramonvitor,2200000,1800000,397900,2500,1100
imreddtv|REDD,883100,3200000,190800,1200,3100
scarlettsspam2|scarlett,1100000,2200000,204700,4500,1200
siscakohl|Sisca Kohl,10400000,2600000,306500,2200,986
_andrewcurtiss|Andrew Curtis,2400000,1300000,274000,4800,2500
_xndirizlky_|_xndi rizlky_,11500,3700000,166500,2200,1800
kingmajesty_princessrose|Nelson and Rose,155000,1600000,109600,1300,13000
serchexmx|Serchex,123100,1400000,265000,2900,3700
hoaminzy_hoadambut|Hoà Minzy,4000000,3200000,345000,1800,423
samsung_guy|Callum,117500,1800000,237200,4900,850
arbooks__|Arbooks,392100,2100000,223800,2600,2600
eduincaz5|Eduin Caz,5200000,2800000,278700,1200,1900
agigigrigio|Giovanna Grigio,2000000,3600000,325000,1700,407
kienreview90|Kien Review,9800000,4500000,254100,1300,850
kallmewhateveryouwant|kallmewhateveryouwant,10900000,1800000,342300,3200,744
kopke613|kopke613,3600000,1100000,141800,2200,13200
colewherld|colegonzales,4900000,2100000,297200,696,3200
zloinvfx|Stanislav Anisimov,135800,3300000,172600,899,3300
yordy_yor|Yordy_Yor,1200000,3800000,146200,3700,671
countingshleeps|blake,2100000,1700000,265600,2800,2600
jasminechiswell|Jasmine Chiswell,15200000,3400000,404400,1500,212
fjerry|FJerry,3000000,1400000,109500,3000,12600
roportajadam|Mahsun Karaca,930100,2700000,157000,564,5100
outtpig|Cameron Perez,1600000,1500000,350200,2200,2300
qpark|Q Park,30200000,3200000,216000,1600,1800
andcarli|Anderson Carli,6000000,4400000,234000,1800,500
mitzakoff|lucasmitzakoff,1900000,1300000,270300,2400,4200
itsjojosiwa|JoJo Siwa,40700000,3000000,370200,1700,383
good.boy.ollie|Good Boy Ollie,2800000,2100000,344300,1100,2100
alaa.ayyman|ALaa Ayman,8200000,3700000,364600,820,935
jj_olatunji4|🇬🇧🇬🇧🇬🇧,1600000,2300000,334600,591,2400
leaelui|Lea Elui,17000000,2800000,375900,1100,1200
innkastar|Innkastar,11600000,2600000,193500,4000,666
anilinom|anilinom,11800000,10600000,136800,441,1200
mileshampton|WilsonsHouse,140300,1300000,299300,2400,3500
mastercorbuzier|Deddy Corbuzier,2100000,3000000,215600,2800,791
djraulitooficial|Dj Raulito,605300,3300000,167000,715,3500
brandonspam_|Brandon Conner,7300000,2200000,281700,3200,558
paulaverhoeven|Paula Verhoeven,997500,4900000,232700,1100,946
madisonpettis|Madison Pettis,2600000,2900000,493500,1000,603
arianagrande|arianagrande,26600000,1400000,333900,3900,963
vekalife24|vekalife,2400000,1500000,116200,459,12600
westbrouck|Mattie,8600000,1900000,423100,2200,655
the.big.mike|The Big Mike,71500,1500000,176800,4200,4000
.mats.ftl|❤️‍🔥Лёша Мэтс❤️‍🔥,6700,1700000,210200,1700,4600
bilalfadilii|Bilal Fadili,958400,1800000,210400,2300,3700
jaydafnwayda|JAYDA WAYDA,3200000,2200000,333400,1200,1900
vzelivx|vzelivx,731300,2100000,271200,2600,1300
benoit_chevalier|Benoît Chevalier,8700000,1700000,180900,3100,4200
ninogashi|NinoGashi,1300000,1800000,179700,3200,3700
twice_tiktok_official|TWICE,13900000,1200000,223800,6500,1800
beniju03|BENIJU,2200000,1600000,304800,3800,716
chourouk.model_official|Chourouk_model_official,4400000,3200000,270500,897,1700
shabiraalulaadnan|Shabiraalula&Ayah,5100000,3200000,256400,1500,1200
ryskalamarcysia|ryskalamarcysia,1800000,3100000,360900,1600,403
namyulenka|Namy,6000000,2000000,366200,2100,901
tu.terapeuta.en.tiktok|Leandro Olszanski,1600000,1600000,328500,1900,2300
devincaherly|Devin Caherly,6900000,3600000,406600,1300,213
itsmatheuscosta|Matheus Costa,4300000,2100000,235300,1700,2800
virguleanimaleshow|VirguleAnimaleShow,850000,1200000,190800,1800,7700
vtkh2004|Vũ Thị Khánh Huyền,7700000,2600000,321400,2000,588
mateuspesce|Pesce,5700000,1700000,254900,2000,3000
how.kev.eats|how.kev.eats,1800000,2500000,323000,1800,926
zubarefff|Зубарев Александр,2900000,2000000,300100,1700,1900
vancityreynolds|Ryan Reynolds,19700000,2300000,282800,1600,1700
clecolucci|Clé Colucci,2900000,935100,165000,9400,4500
mr.v1bez|MR.VIBEZ,853000,1400000,364200,1900,2300
nosoychaparro|Luis Chaparro,2800000,2100000,360300,2500,320
lilyxgarcia|Lily Garcia,8900000,1800000,418200,1900,906
juanpazurita|Juanpa Zurita,12800000,3300000,397700,804,782
juandaniel.ibarra|Daniel Ibarra,26600000,3300000,353700,1400,406
juandaniel.ibarra|Daniel Ibarra,26600000,3300000,353700,1400,406
maddiebools|Maddie,52900,1700000,99600,3600,8900
abir.sag|Abir e sag,11000000,2500000,176900,2900,1700
lexychaplin|Lexy,3000000,2000000,308200,2700,595
mich_gzl|Michelle González,538300,3100000,220600,730,2200
more.annapaul|More Anna,1500000,2700000,447800,1300,418
ktlynraps|Ktlyn,1900000,2100000,226700,2000,2300
yano4kaa.aaa|Yano4kaa.aa,3000000,1700000,267100,2200,2300
baga..genius|Молодой Гений,721600,1900000,279700,1700,2200
lelepons|Lele Pons,26800000,2200000,307400,1900,1100
n.vv3|ناصر || 🇸🇦 alsubaie ..,1900000,3300000,158000,3200,642
flakeysalt|Joshua weissman,6200000,2500000,352900,664,1600
kikakiim|Kika Kim,29500000,2200000,296000,2200,918
emilymariko|Emily Mariko,10100000,3000000,321700,1300,766
milos.guzel|Milos,4800000,1900000,425500,1700,774
hashbrotatoes|H&SH Brotatoes,390100,2200000,342600,1400,1300
diana_aster|💗 DIANA ASTER 💗,10400000,2700000,337400,1800,417
gabrielabee|GABI BEE,9300000,1200000,248000,5500,1200
igorjansen|igorjansen,10600000,2200000,275700,2400,953
ifluent|iFluent,2800000,1600000,174500,4000,3100
mateus_hwang|Mateus Hwang,1900000,2100000,139600,5700,1200
taimmm8|888,1000000,2000000,318800,1500,1600
mandrake1984real|Giuseppe Mandrake Ninno,883800,1400000,180400,982,7000
lisav_|ну лиз,1900000,1900000,370700,1300,1400
chadio|Chad Epps 🦒,6900000,1500000,240400,3600,1700
rachyohumlek|รัชโยตัวปลอมนอกนั้นจริงหมด,1600000,4100000,349700,951,397
aiki_kr|아이키 Aiki,1800000,1700000,363200,2000,1100
itsmenicksmithy|Nick Smithyman 🤓,6400000,1500000,265000,3100,1900
alexiatamiraa|🍓Alexia Tamira🍓,7500000,2300000,312000,2200,479
v1ctoryuh3.0|sexy lady,1600000,1600000,303100,1700,2200
taavmaki|Taav,686900,1300000,217200,2700,4000
esnyrdump|esnyrdump,603800,1800000,271600,2200,1900
andersonprofetaa|Anderson Profeta,2500000,1200000,151700,2200,8200
jason.nms|Jayway,652600,1500000,254900,2400,2500
cassholland|Cassie Holland,1500000,2000000,381900,1500,917
pokrov|АНЯ ПОКРОВ🥑,16300000,2200000,287600,2100,895
rhyadmuslim|Rhyad ☝️,344000,1000000,222200,2400,5800
bretmanrock|bretmanrock,14000000,2600000,361800,1500,492
alvesdudas|mariê,855700,1400000,349900,2100,1800
monika.kociolek|Monika Kociołek,2600000,1200000,196800,6600,1300
sanae33359|San AE,1700000,2700000,224100,1200,1900
iben_ma|Iben M.A.,5600000,2500000,191800,3500,455
fes.ti_|festi,1200000,1200000,264100,3600,2300
imanthonyvargas|Anthony Vargas,6500000,1900000,341400,2600,268
wicsur|♥️БИСКАС♥️,7000000,1600000,126500,8900,248
sxmplyni|Simply Ni🌱,1600000,2600000,248800,1400,1400
itsqcp|QCP,9400000,2500000,371300,1100,888
ssanwhere|hassan,369400,1300000,237800,3100,3100
lizzebethmuaa|Lizzebethmuaa,3600000,3600000,357100,721,705
crispy|Crispy Concords,1200000,2900000,400000,986,593
blythe|Andrea Brillantes,17300000,2300000,382500,1200,960
kmiloop|Kmilooo,796900,1200000,228200,1300,5600
ilhamputrayuda|Ilham Yuda,1600000,2800000,326300,1200,814
anyaischuk|Anya Ischuk,10500000,2700000,317200,1800,341
diegodiego_|Diego Cruz,7200000,2100000,258500,1800,1600
winnermaxyt|WinnerMax,1800000,2500000,220200,968,2300
rafaelsantos|Rafael Santos,16700000,1800000,289700,2700,736
lkzinhu|LK,14300000,2400000,346900,1200,998
mercuri_88|Manuel Mercuri,19000000,2700000,238700,1600,1200
saxcy|saxcy,747200,2600000,271500,1300,1300
mdmotivator|Zachery Dereniowski,6200000,2500000,357100,1400,599
c.tangana|C. Tangana,372100,4400000,200300,735,1300
nuhchez|Nuhchez,5700000,1700000,248500,2000,2200
mieayamthebstt|Unaa🍜,13000000,2400000,264700,2000,827
ayutingting|Ayu Ting Ting,5800000,2400000,176400,2100,2100
yailinlamasviraloficial_|Yailin La Más Viral,2800000,2500000,210000,3000,365
sehataqua|SehatAQUA,249300,23300000,67400,647,467
jordanemel|Jordan e Mel,8700000,2400000,183600,1000,3000
gingerbilly1|GingerBilly1,5700000,1100000,163700,954,8700
samkamusic|INSTASAMKA,12400000,1800000,227900,2700,1500
jaxwritessongs|Jax,8300000,1900000,220100,2800,1500
sthefane.matos|Sthefane Matos,5100000,3200000,261700,1400,603
son0_0|손새벽,2700000,3900000,216800,1500,514
flickerspark_|flickerspark_,1200000,1700000,446700,1200,1100
kostyxd|Sergi Cabrer,2100000,2100000,290900,1700,1100
mahalinzi|Mahalini Raharja,655500,2700000,251900,1600,917
jesusangelperezoficial|🚨 ESE PÉREZ 🚨,3500000,1700000,186500,898,4600
tarankaaa|Dasha Taran,8000000,1700000,283400,2400,1000
its.michhh|Michel Chavez,28600000,2200000,340400,1900,369
aileenchristineee|Aileenchristineee,5600000,1700000,310000,1100,2100
mads.yo|Madison,12700000,3100000,322900,954,710
itstalasafwan|تالا صفوان | Tala Safwan🌵👸🏽,3700000,2100000,138200,5200,502
karenos11|𝐊𝐚𝐫𝐞𝐧 𝐎𝐬,6100000,2000000,367200,2000,242
jojohfsex|fullhyp3,1600000,1400000,262100,2700,1800
nansartt|nansartt,1300000,2100000,422700,1400,456
aviranisha|Avira Nisha,3600000,2500000,310600,1800,344
03emergenxy|meyes not mayes,432500,3400000,215900,1700,561
nuun____|Nuun 🍂,271800,651600,118100,1500,20000
iloveyourmomscatt|,8200,1300000,159300,4900,3300
thongsoaicavip|Thông Soái Ca,1600000,2700000,172000,2600,971
ivanantoniochacon|Tik Toker,7200000,1300000,461600,1900,806
jhekhoos|Jecus Andrei,3800000,1900000,235900,1300,2400
kimpeeee|Kim Lajara,5800000,3400000,298500,507,1100
birdsarentreal|Birds Aren’t Real,852800,1500000,263500,2400,1800
markoterzo|M A R K O,2500000,1800000,168700,4200,1200
nnatalieaguilar|natalie & the aguilars,4200000,2800000,373600,702,845
halinhofficial|Ha Linh Official,1000000,2600000,187300,2800,604
sosiadoneymar|Eigon Oliver,6000000,2500000,179900,1800,1800
saadradio|Saad,1700000,3400000,260200,1200,670
leleburnier|LELÊ BURNIER,1400000,1400000,326000,2700,958
thelandofboggs|The Land Of Boggs,5200000,2600000,367700,857,829
yuna1_27|🐚Yuna_유나🤍,2200000,1600000,291000,1400,2000
abaas_majid_|عباس ماجد,2000000,2100000,206900,2200,1500
muhammetalisarii|Muhammet Ali Sarı,264100,2900000,128400,1400,3000
theluciole|Luciole,955000,1700000,395200,2000,428
dafaatmja|Dafaatmja,9900000,2000000,162600,4100,856
pushistyk|VL,13300,1900000,272200,1600,1600
juliano|julianofloss,6700000,2100000,306700,1600,851
nicholas_crown|Nicholas Crown,1600000,2900000,490500,863,262
oipedrodaher|Pedro Daher,3100000,1100000,206600,1800,5100
jimena.jimenezr|Jimena,22800000,1700000,311700,1000,2000
mellacarli|Mella Carli,1700000,1400000,220500,2100,3000
viktoriya__bars|Viktoriya Bars,139700,1300000,56600,2200,19400
missmarymmouser|missmarymmouser,2900000,1900000,255500,2700,570
coleandersonj|Cole Anderson James,1500000,1600000,280500,1200,2300
pumbacaracal|PumbaCaracal,3500000,2100000,130900,3300,2600
the_green_car|The Green Car,168800,4300000,339800,662,417
providingforthecommunity|Russel Cameron,313600,1600000,114600,5500,3400
hannahstocking|Hannah Stocking,25900000,3000000,338400,967,582
pk.99999|PHUKLA,1200000,1500000,288200,1700,1900
lilchefmil|Milan Bhayana,861100,3000000,501100,678,367
jeremylynch|JeremyLynch,18600000,1700000,248000,2600,1200
ph1lzatiktok|Ph1LzA,2200000,980500,309200,4000,1100
jack_papho69|แจ็ก แปปโฮ,6300000,2800000,344100,766,862
cesarpantoja.n|Cesar Pantoja,12400000,2000000,305400,2200,317
yajanaaa|Yajana Cano,5000000,1500000,255300,767,3300
dilaraaduman|Dilara Duman,1900000,3400000,175800,653,2000
justinbieber|Justin Bieber,23600000,1700000,197500,3200,1400
lukedonkin|Luke Donkin,2300000,1500000,199000,2900,2300
alexxxxan|котик,1700000,1700000,307500,831,2100
monsieurpof|Monsieur Pof,2800000,1700000,340600,1800,938
dennnyn|DENII,3300000,1000000,136400,773,10500
lauratheux|Laura Theux,208300,3500000,234700,846,1000
com.hyuga1117|【コムドット】 ひゅうが,995500,1200000,199800,4900,1500
robegrill|Roberto Morales,10200000,1900000,209500,1100,2700
emoglam|емоglaм,1500000,2700000,307300,1000,806
luvtheflex|taryn,1400000,1900000,156900,3800,1300
jombospice|JOMBOSPICE,7200000,2500000,239800,1900,617
rusuh_brooo|RUSUH BROOO,27500,840600,150800,1500,10400
shandyjuragan99|Shandyjuragan99,1100000,3000000,183500,1900,869
pjmxck|𝐂𝐡𝐢𝐤𝐚⁷,1000000,738700,263200,2700,5000
kamashrafi|kamran,48200,1200000,231600,2600,2800
najihmumtaz|Najih Mumtaz945,682300,1600000,93900,4500,5500
chelseahartisme|Chelsea Hart,1500000,3500000,138900,0,3100
gheayoubi08|Gheayoubi,7900000,3200000,171100,1200,1600
annaxsitar|anna x,11600000,3000000,461200,723,381
y.i.m_|Отборный юмор и комедия 🎭,177500,1400000,121300,1200,7700
matsu_kusarine|ラブマツ (LOVEMATSU),563900,2900000,186400,1800,1000
beinsports|beINSPORTS,1200000,1700000,213800,2200,1900
_mister_z|Marco Zedda,4500000,1600000,272200,2400,995
.shuberrr|максончиq,5800,2000000,152700,2100,2800
maharanikemala|maharanikemala,3200000,2500000,156200,1800,2000
analisseworld|Analisseworld,9900000,2100000,328900,967,1200
jairsanchezzz|Jair Sanchez,6200000,1300000,226900,1800,3500
machikayt|MachikaYT,12000000,1900000,291100,2200,558
michaelrendyw|Michael Rendy W,4600000,3900000,293600,740,558
dobretwins|Lucas and Marcus,35200000,1800000,221400,3300,498
swagboyq|SwagBoyQ on IG,23400000,3000000,216600,1400,858
xoomid|Xoomid,8200,1100000,135300,4200,5700
_nch04|𝐍𝐠𝐮𝐲𝐞̂̃𝐧 𝐇𝐚̉𝐢,4800000,2500000,209100,1400,1400
davidgalvanv|David Galván,3900000,2600000,244200,1500,807
usernamepuntaktahu|CEO OF SEKOLAH,587700,2200000,293300,1700,595
primkung007|PRIMKUNG,2100000,1400000,259900,3500,575
isabelgiannuzzi|Isabel,1100000,3500000,298100,1200,187
baileyspinn|bailey,11100000,2300000,296100,2000,137
summerwalker|Summer Walker,1600000,1100000,199200,3300,3300
huynh_quang_6767|Huỳnh Quang - Bảo Ngọc,457600,2100000,185600,3400,337
bs_fo4eek|Fo4eek,36900,1900000,158800,2600,2100
carloandsarah|,3300000,2400000,188400,1200,1900
nadaakkhaledd|Nada khaled,2700000,2100000,275900,1300,1100
ups|UPS,92600,1200000,136700,2200,6300
ninja|Ninja,8300000,2300000,216200,1600,1400
attahalilintar|Atta Halilintar,10100000,2600000,288900,1300,661
nam.per|Nam Per,1600000,2500000,225000,1500,987
leal_stephany|Stephany Leal,13100000,1700000,351200,738,1600
lucaslopezvilet|Lucas Lopez,2400000,1300000,191400,1300,4500
vlad.hoshin|HOSHIN,11400000,1100000,250800,4100,1000
kauanahofem|Kau,7000000,1800000,262900,1800,1200
xolyssarosexo|Lyssa,60100,1600000,92600,8700,1100
joe.bartolozzi|Joe Bartolozzi,17800000,1500000,296700,2800,376
maxkhadarr|max khadar,1300000,1100000,197600,3000,3400
jacksonaces|JACKSON ACES MAGIC🎩,6200000,1500000,93000,3000,6900
ninjagirldraws|Dania,3600000,1700000,147100,2000,3500
trien.13|TRIỂN CHILL,491400,1300000,177100,3900,2100
connordewolfe|Connor DeWolfe,5300000,1100000,276000,1500,3000
loupernaut|Lou PERNAUT,1300000,2400000,280700,1800,198
bxyeditss|[panyo ni irene],419400,1100000,202500,2800,3400
totochegang|Anto,1400000,1400000,275400,1400,2300
luciiasanese|lu,30100,1200000,186900,2700,3600
nickandcarrie|Nick&Carrie,5600000,1900000,290500,1000,1500
juanchimy|Juan Lopez,2700000,1400000,325100,1700,1300
bene.schulz|Bene,5700000,2000000,254600,1600,1100
com.amugiri2|【コムドット】あむぎり,712300,1300000,200100,3800,1400
goldwin.reyes|GOLDWIN REYES,1500000,2500000,335300,964,659
lulu_pt|Lulu,299600,1900000,223900,921,2200
itskingchris|KingChristian,15300000,1400000,258600,2200,1700
fahmi.nm|Fahmi,7600000,2200000,237400,1800,748
farhanrn__|FARHAN,3800000,1700000,281900,1800,1000
liltjay|Lil Tjay,4400000,1800000,221200,2700,775
vilmeijuga|VILMEI✨,8400000,1700000,169200,3500,1100
faryanggaa|Ryann,4400000,1700000,272200,1900,1000
gordeewa__13|вечно изящная,9500000,2600000,214500,1800,604
fadiljaidi|Fadil Jaidi,7500000,2500000,351600,967,543
darianrojasc|D A R I A NR O J A S,29400000,3100000,445000,575,385
ibaillanos|Ibai,8900000,1500000,260500,1300,2000
tsezy|Tommy,4800000,2000000,253500,1900,735
linhkool1993|Linh Kool,4500000,3300000,330300,954,256
rayanfahmi|Rayoon,3200000,2200000,192000,2100,1100
unnecessaryinventions|unnecessaryinvention,4600000,2200000,194600,2000,1100
basementgang|Basement Gang,5000000,1400000,275200,1400,2100
bessan_esmail|بيسان اسماعيل - Bessan Ismail,10100000,1800000,132100,4200,1400
com.yuma1214|【コムドット】ゆうま,812700,1300000,188300,3900,1400
anggun_core|anggun✨,14800000,3600000,178000,1300,697
xibibrothers|Xibi Brothers,7600000,1800000,246500,888,2000
moni_lina|MoniLina,14500000,7700000,128100,367,942
avani|avani,40400000,1800000,237600,2100,874
haijoel|Haijoel,409500,2800000,167700,2500,279
samanthayve|samantha eve,5800000,1300000,205400,3400,1400
hoaa.hanassii|Đào Lê Phương Hoa,10800000,1600000,255300,2400,695
ryanbakery|𝙍𝙮𝙖𝙣𝘽𝙖𝙠𝙚𝙧𝙮,1100000,1600000,171300,2400,2400
djprecise|DJ Precise,3400000,1700000,186400,3100,897
jeffreestar|Jeffree Star,2200000,2100000,208400,2000,872
christiandaloii_|Christiandaloii_,2900000,1500000,197400,2500,1900
abdullah_eltourky|Eltourky 👑,6700000,2000000,235700,1200,1400
oironyoliveira|Kbuloso 😈,5900000,1300000,87300,490,10900
lana_mohd89|𝑳𝑨𝑵𝑨 🦋,4400000,2100000,161700,2400,1200
lyrico__|ʟʏʀɪᴄᴏ,2900000,1100000,105600,1100,10100
beasteater|BeastEater,18000000,2700000,248400,1700,208
nick.digiovanni|nick.digiovanni,8600000,2100000,295300,1200,778
milosramen|Jacob🇭🇳,1300000,2200000,272900,1400,665
steveharvey|Steve Harvey,9200000,1800000,176800,1700,2400
ngoanhtan1|Bạn Tấn chúa tể nỗi buồn,777600,1600000,153100,2700,2400
gemelasabello2|gemelasabello2,13200000,2600000,293200,693,950
creatorar|Arpostt,624100,1700000,141300,733,4400
vanrezaputra|Elaina,320100,1900000,163300,2300,1800
bestluxurycars|Bestluxurycars,3000,769500,136900,1400,10200
johaanzu|JohaanZu,3600000,1700000,320200,1600,716
nelyrall|NELYRALL,4600000,1100000,214500,1900,3500
leigh_mcnasty|Leigh McClendon,2800000,1000000,157000,1300,6100
xo4y_remont56|user4538340664186,82900,2700000,67400,589,6000
sofarsabi|SOFARSABI,5500000,2100000,208400,2200,584
cerolzera|CEROL,4100000,1700000,180400,2700,1300
animalize21|animalize21🔥,10300000,2000000,248100,1400,1000
itspierreboo|Pierre,12500000,1900000,278300,1600,753
lorengray|Loren Gray,54300000,1800000,248400,1500,1200
football.tonight|football.tonight,391500,2000000,152200,2300,1600
danielmidas|danielmidas,281800,1400000,119100,1600,5500
laila_mahmoud62|ليلي محمود ♥️,3000000,3400000,204700,772,931
quintongriggs|Q U I N T O N,6400000,1400000,169800,3300,1700
erictro|Eric Tro,2200000,3700000,358800,453,438
doongool|🔥Dongol🔥,3100000,2200000,255000,1100,1000
madozilla|mad,5700000,888900,194400,3900,2900
anxietycouple|Anxiety couple,10700000,2600000,274900,765,886
nildachiaraviglio|NildaChiaraviglio,798900,1300000,117900,723,7000
haccon.01|𝐇𝐚̣𝐜 𝐂𝐨𝐧🦩,325100,1900000,157800,3600,314
fukada0318|深田えいみ,4600000,2000000,150800,2600,1300
ahmedbasyoni|Ahmed Basyoni,1200000,1700000,125900,2400,3000
