ttnamettker,Subscribers count,Views avg.,Likes avg,Comments avg.,Shares avg
daddyyankee|daddyyankee,10400000,6000000,696300,18100,20600
official_nct|NCT Official,7300000,3200000,1200000,23100,17600
zeth|Zeth,10800000,6600000,1300000,4100,12800
larrayeeee|LARRAY,25600000,5400000,1200000,17600,4100
mrbeast|MrBeast,34700000,6800000,1100000,16100,1500
jypestraykids|Stray Kids,10800000,2900000,1100000,27600,12000
iamferv|Fernanda,26100000,7800000,1100000,10300,3800
nicocaponecomedy|nicocapone.comedy,20300000,11800000,691800,3900,10200
honeybobabear|HoneyBobaBear,7800000,10100000,1400000,5000,2400
masondenverr|mason,2000000,4400000,1200000,7300,11300
nicoletv|Kayla Nicole,10200000,6100000,999300,4900,10000
aquajock_h2bro|JæBæ,509700,5400000,966400,5400,10600
terryreloaded|Terry Reloaded,3900000,4900000,1000000,6300,10200
soysuco|soysuco,9600000,6300000,999500,11100,2000
itzyofficial|ITZY,7300000,4700000,1200000,10400,3600
oldtimehawkey|Old Time Hawkey,5100000,4800000,831600,11000,7000
missionaryjack|Jack Harlow,3300000,8300000,837000,4900,5500
conormaynard|Conor Maynard,6200000,5800000,794300,8900,6600
conormaynard|Conor Maynard,6200000,5800000,794300,8900,6600
itssassagurl|Sassa Gurl,5300000,6000000,969600,6200,6000
terryreloaded|Terry Reloaded,4000000,4400000,955300,6200,9400
jimmydarts|Jimmy Darts,8100000,5300000,893400,10300,2900
alshad95|Alshad Ahmad,1600000,7300000,761900,6200,5000
bayashi.tiktok|バヤシ🥑Bayashi,24100000,7700000,958000,5800,2500
rosalia|La Rosalia,18300000,9800000,978500,3800,2300
daniel.labelle|Daniel LaBelle,25500000,4600000,754900,5500,11800
masonmount|Mason Mount,2800000,4800000,806900,9900,5100
theandrewschulz|Andrew Schulz,3000000,4000000,602200,2200,21600
activesufi|activesufi,364600,13800000,1100000,2200,1500
hayleygeorgiamorris|Hayley Morris,2900000,4600000,586900,1900,18400
lilnasx|lil nas x,27700000,5700000,804600,9000,3000
willsmith|Will Smith,67400000,6900000,658500,10000,2000
clarissaperezlara|Clari,129500,3900000,370000,2700,34200
spriteder_spd|Prite Netijen Netirattanapaiboon,2700000,8000000,924800,3700,3500
paytonking|Payton King,5100000,2800000,685400,11800,15800
lexibrookerivera|Lexi Rivera,21100000,7000000,937400,6200,1900
snoopdogg|Snoop Dogg,19700000,7400000,647200,6600,4300
tuckerbudzyn|tuckerbudzyn,10100000,4000000,638600,3300,16700
jaykindafunny8|Jaykindafunny,23300000,9600000,685700,2400,5200
solsito.pe|Solsito.pe,80200,3500000,503100,10600,17800
"jake2r|Jake2r, Ph.D.",2100000,2800000,739600,5200,17100
thejoeyswoll|Joey Swoll,2400000,5300000,804500,8400,2500
kallmekris|Kris HC,43300000,5400000,988000,5500,3100
jdpantoja|JD Pantoja,26800000,4800000,942200,8700,1300
datvilla94|🔥Đạt Villa🔥,5200000,5700000,659100,8100,3100
haileybieber|Hailey Bieber,7700000,5700000,810500,6300,2700
big.johns|Big Johns,140300,3100000,476500,18400,8700
cleanpuppy|Chloe Cherry,1700000,4800000,980200,5700,2900
arabstay|𝕊𝕥𝕣𝕒𝕪 𝕜𝕚𝕕𝕤,219000,2600000,770200,11700,8200
aitch12|Aitch,1800000,5300000,421100,7600,9800
doctorgraves|Dr.Graves,2700000,5000000,879700,2800,5900
fredziownik_art|Franek Bielak,11800000,6300000,781900,6500,1200
vibin.wit.tay|Tay,3300000,3300000,689400,4000,12600
cedriklorenzen|Cedrik Lorenzen,2100000,4000000,457000,7900,12400
vanessalopesr|Vanessa Lopes,21300000,5900000,637100,6400,2900
rustam_mayer_djavid|RUSTAM MAYER,4300000,7800000,390800,1600,9700
soojinicoreana|Chingu Amiga,17300000,6500000,1000000,3900,1400
jinisprotips|💡 Jini 💡,713700,3700000,467600,6900,12900
esen_alva|Esen,3100000,3300000,536300,3300,15500
drew.nori|Drew Nori,4700000,8100000,387900,9700,733
wuesilva|Wue Silva,11800000,4500000,584000,10600,1800
thallyssonsb|Thallysson Borges,8500000,3600000,629000,6000,8200
natemyburgh|Nate,306400,3400000,724900,3600,9000
soso_aroundtheworld|Sosonebieridze,109800,3000000,420000,10800,13200
newboyjosh|Newboyjosh,340500,4000000,445000,6400,10400
initiaraandini|tiara andini,4100000,7400000,651600,4400,1800
iamkevingates|Kevin Gates,2100000,3500000,413600,9400,11300
max7424453118|Max Taylor,2800000,3500000,572600,5200,9500
danya_milokhin|danya_milokhin,16500000,6300000,733200,4600,1700
samanthalogan|Samantha Logan,1800000,6000000,840900,3000,2800
jakekrantz1|Jake Krantz,2100000,3600000,772300,3200,7100
fujiiian|Fuji,12700000,6200000,760400,3400,2600
vincentmarcus|VincentMarcus,2500000,10700000,250400,2300,8200
hongthanhofficial|HongThanhOfficial,1300000,7700000,675600,2700,2700
kervo.dolo|Kervo.dolo,7500000,3900000,606400,4400,7100
zachjustice|Zach Justice,3900000,6000000,793700,1000,4600
qamar_altaey|𓆩𝑄𝐴𝑀𝐴𝑅¹⁶𓆪,2800000,3600000,348000,10200,10800
fortnitekanal.exe|Fortnitekanal.exe,1400000,2200000,539400,14000,7800
