S.no,Tiktok name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.
805,Animasinopal,2900000,277700,451,619,2900000
806,Vivi🧸,1600000,197900,1700,945,1600000
807,Erika,1600000,329700,1100,525,1600000
808,Amanda Araújo,3500000,172600,997,400,3500000
809,Kiệt Hà Tịnh,2900000,216500,1100,268,2900000
810,madz,1500000,337700,1100,581,1500000
811,Melon nè !,2400000,185600,1000,868,2400000
812,Joel Sunny,1100000,208300,2300,1300,1100000
813,Andrew Schulz,1400000,192900,613,2600,1400000
814,Little Bubby Child,853500,65500,1500,13400,853500
815,🐰,800400,235700,1200,3200,800400
816,anna x,2600000,372800,417,442,2600000
817,agustinlocutor,1600000,100000,986,4200,1600000
818,Mèo Simmy,1100000,137100,4700,626,1100000
819,Bryce😈,1400000,237600,1800,688,1400000
820,Kennedy Walsh,1600000,312600,934,765,1600000
821,Los Arias,1600000,241400,476,1600,1600000
822,Devyn,1600000,335300,359,1200,1600000
823,Roman,1900000,170400,2000,579,1900000
824,Léa Martinez,1800000,239700,837,1100,1800000
825,movlogs,4900000,189600,577,300,4900000
826,柊Volvy,1100000,233100,1200,2000,1100000
827,SIMONE BERLINI,1600000,259800,868,1100,1600000
828,Aileenchristineee,1400000,224100,681,1900,1400000
829,funny_v.i.p,1600000,196500,476,2100,1600000
830,Bárbara Coura,1400000,295700,1000,922,1400000
831,دودا🦹🏻🤍,1800000,190800,812,1500,1800000
832,~YEŞİM,3500000,122500,1100,765,3500000
833,Evelyn Ha,1100000,245900,2400,661,1100000
834,William,911900,194800,1700,2700,911900
835,actuallyitsbella,1600000,237400,1600,503,1600000
836,Nyx,1600000,155500,1800,1400,1600000
837,Design House Decor,1100000,141100,574,4400,1100000
838,ophelia 🦋,1000000,169200,4200,481,1000000
839,Nadia Al-zou'bi,1500000,75900,738,6200,1500000
840,Emil Warren,1200000,211300,2600,617,1200000
841,CLMNS BROCK,1400000,152800,532,3300,1400000
842,Alx James,896700,152800,899,4800,896700
843,Tana Mongeau,2100000,234500,1200,412,2100000
844,Cass Holland,1900000,287700,856,571,1900000
845,ARFAYTB,894100,108700,456,7600,894100
846,Britney Spears,1300000,107800,3500,2300,1300000
847,Hunter & Frank,2000000,234200,1400,274,2000000
848,ELALFAELJEFERD,1900000,198600,639,1400,1900000
849,Adam Shi,1200000,235900,845,1900,1200000
850,Max The Meat Guy,2100000,273100,622,720,2100000
851,AURORA,1600000,216200,1600,659,1600000
852,ハリツ🌿極,1800000,92700,2300,2500,1800000
853,🐇Vidhi_R🐇,1100000,151500,2900,1700,1100000
854,جوقي💚,1500000,219300,1300,982,1500000
855,GABI BEE,1200000,239100,2200,432,1200000
856,jack neel,1300000,245400,1900,535,1300000
857,Đặng Thu Hà,2500000,300400,672,341,2500000
858,Miguel Alessandro,1800000,113900,1000,2800,1800000
859,Mesita,1600000,326800,611,886,1600000
860,Munir | 107 Deportes,1200000,88400,371,6700,1200000
861,grace☕︎︎,730300,179200,3900,1900,730300
862,Alex and Jon,971200,135000,552,5200,971200
863,Playboyjuju,1700000,120100,2400,1300,1700000
864,Beamng Shorts,2900000,158900,1000,630,2900000
865,Susy Mouriz🌷,1800000,212200,1500,470,1800000
866,THE MERKINS,600100,150900,1400,6800,600100
867,carloandsarah,2100000,219600,695,924,2100000
868,ʜᴀɴᴇᴍɪʏᴀ,1200000,257600,2100,336,1200000
869,chloeo,1400000,188200,1900,962,1400000
870,Jenny McCarthy,1200000,147800,3200,986,1200000
871,Apinya Bunying,1500000,204100,1200,1300,1500000
872,Anthony Vargas,1800000,292100,1200,247,1800000
873,Jesse J. Pedigo,752900,96300,1400,8800,752900
874,nati👽,1600000,182600,449,2200,1600000
875,Zeina Zee,2200000,185600,820,990,2200000
876,Mark,754300,192500,1700,3300,754300
877,boywithuke,1600000,242300,1600,306,1600000
878,Lily Garcia,1700000,248500,972,760,1700000
879,ROSE,3100000,123900,974,930,3100000
880,kayla,1700000,277300,1400,128,1700000
881,Charles Brockman III,1000000,235100,2100,1000,1000000
882,Carlos Castro,1600000,166500,285,2500,1600000
883,نجم الثرياء⭐H,1100000,17600,5800,31900,1100000
884,JFK 💀,888800,181600,3400,1100,888800
885,Ricky & The Boss,930600,109500,784,6300,930600
886,Celina Myers,1600000,246700,1200,625,1600000
887,yg_treasure_official,830500,216900,2200,1800,830500
888,🌸桜🌸,1200000,144700,2700,1500,1200000
889,Dane Lindfors,1300000,109600,896,4300,1300000
890,thedonato,1300000,152800,3500,92,1300000
891,Afraa,2700000,185700,594,860,2700000
892,RIFIRDUS,2100000,158900,845,1300,2100000
893,Lil Mabu,2000000,206900,1200,504,2000000
894,ام خدود  فراولة😌🍓,2200000,150100,907,1200,2200000
895,Max Taylor,1300000,231200,1200,1200,1300000
896,daddyyankee,1200000,197800,1800,1200,1200000
897,Heinz Wuth - Ciencia y Cocina,1300000,189300,530,2500,1300000
898,AC/DC,1100000,182200,879,2600,1100000
899,Subaru Motorsports USA,1000000,161900,840,3400,1000000
900,Nic Suarez,2400000,263500,752,362,2400000
901,Michel Chavez,1900000,260400,1200,218,1900000
902,AlwanRK,2500000,237000,630,558,2500000
903,Bùi Bá Hiếu,2800000,260600,796,185,2800000
904,💦ATOM🐦,1300000,241800,1400,821,1300000
905,Cedrik Lorenzen,1100000,115300,2300,3200,1100000
906,Aurelie Hermansyah,2100000,187400,989,779,2100000
907,abopermak,2300000,69700,2600,1700,2300000
908,Dr. Miami,1300000,270600,681,1300,1300000
909,Batu FuRkan,1300000,172500,1100,2100,1300000
910,Prii Moraa,2000000,345500,293,726,2000000
911,dylan hoogerwerf,2300000,271400,779,318,2300000
912,Reese Witherspoon,1500000,147900,2300,878,1500000
913,LISBOA,1600000,262900,601,1100,1600000
914,Rowan,1100000,268100,1100,1200,1100000
915,Jake hunter,2000000,127800,2400,353,2000000
916,Huddy,2000000,147900,1800,529,2000000
917,Iker Lafuente 🫧,1000000,162500,2900,1100,1000000
918,Niall MacMillan,1500000,123200,973,2700,1500000
919,🌽 NHÃ BÉ BẮP 🌽,2500000,267800,689,319,2500000
920,lightskinmexican0,746100,119800,824,6700,746100
921,Elecher Lee,1500000,138300,2700,632,1500000
922,The Summerhays Bros,1300000,188300,539,2200,1300000
