S.no,Tiktoker name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.
121,saramohannad_,4500000,364900,6300,3100,4500000
122,miakhalifa,5400000,610300,2500,2200,5400000
123,qamar_altaey,3000000,298100,7000,9900,3000000
124,sofyank96,4500000,565100,2500,3400,4500000
125,kooovryt,2900000,516200,4000,6000,2900000
126,leesiyoung38,3500000,658800,3800,2800,3500000
127,jdpantoja,4600000,751900,3500,799,4600000
128,billlnai,3400000,934200,2600,1900,3400000
129,itssassagurl,3500000,565300,3100,4100,3500000
130,bargain.bethany,2200000,208700,1800,28300,2200000
131,terryreloaded,2300000,508700,2700,8700,2300000
132,gordonramsayofficial,6400000,488100,2200,2100,6400000
133,larissagloor,3100000,756800,3900,1800,3100000
134,rah_money1,3200000,426300,3100,6300,3200000
135,aymanehamedi,3400000,298500,2800,9800,3400000
136,luvadepedreiro,4200000,571700,3700,1700,4200000
137,brookemonk_,5900000,678900,1900,1400,5900000
138,parnishacook,3200000,183700,352,21300,3200000
139,yzn47,7000000,249200,1200,6100,7000000
140,pimrypie__tiktok,7700000,466300,2300,1200,7700000
141,alanthedude,3700000,636000,3500,1800,3700000
142,daviddobrik,4400000,440600,1700,4600,4400000
143,montanablack,3400000,447500,3500,4400,3400000
144,vhackerr,3300000,487100,4600,2700,3300000
145,cellat36,5400000,307500,5200,1900,5400000
146,thebenjishow,3300000,643800,2200,3200,3300000
147,seventeen17_official,1900000,595100,5300,4900,1900000
148,thenataliahms,3500000,259600,928,11800,3500000
149,loganpaul,4800000,976900,1400,1000,4800000
150,andyarthursmith,3300000,564700,3300,2800,3300000
151,loganpaul,4800000,976900,1400,1000,4800000
152,andyarthursmith,3300000,564700,3300,2800,3300000
153,cauwave,2600000,396600,2700,8200,2600000
154,nicollefigueroaa,5500000,766100,1800,882,5500000
155,brookemonk_,5700000,620800,1800,1300,5700000
156,oldtimehawkey,2900000,445500,4600,4000,2900000
157,mix_151,4800000,481900,3200,1400,4800000
158,mmmjoemele,5700000,848400,1200,1000,5700000
159,lordtrunks,4200000,386900,3000,3600,4200000
160,paytonking,2600000,325000,4800,7600,2600000
161,squatch.and.sons_customs,7700000,471300,1600,1200,7700000
162,incorrectlyroce,3900000,678600,2200,1700,3900000
163,lifeofclare,3100000,724400,1200,3400,3100000
164,patrickbarnes,2200000,417200,3900,7300,2200000
165,the.historical,2900000,346200,4800,5100,2900000
166,blamerobertjames,3500000,347200,4400,3900,3500000
167,pollerocho,3500000,567200,841,4200,3500000
168,ferchugimenez,4500000,825600,1500,1100,4500000
169,jaykindafunny8,4800000,612400,1300,2000,4800000
170,kulinaria.recetas,3400000,408900,443,6400,3400000
171,cocielo,2300000,675900,2000,4100,2300000
172,darylsabara,3600000,628500,1900,2100,3600000
173,livefromthepark,2200000,130200,1000,30600,2200000
174,saraisthreads,2300000,462700,2600,6100,2300000
175,fhd.artz,4500000,288800,5400,1400,4500000
176,ig_alongwiranda,3200000,129400,1200,20000,3200000
177,initiaraandini,3800000,419600,2600,3000,3800000
178,ndshvv,3800000,552400,3400,764,3800000
179,maiaknight,4700000,720500,1600,960,4700000
180,homm9k,3800000,489800,3600,1100,3800000
181,dobretwins,4800000,453100,2800,1100,4800000
182,jacksepticeye,2300000,559800,3800,2700,2300000
183,franckfs,4900000,330900,1000,4100,4900000
184,iamdtg,2200000,251900,2200,12900,2200000
185,jihansalsabila44,2700000,366400,3600,4500,2700000
186,brentrivera,4900000,574400,2000,813,4900000
187,rayandmadalyn,3600000,496100,1800,2600,3600000
188,nessaabarrett,4000000,420500,2700,2000,4000000
189,leanadeeb,3900000,573500,1300,2100,3900000
190,just.hamilton,2300000,371100,1900,7000,2300000
191,wilmah10,2900000,208200,2700,9900,2900000
192,official_kep1er,2700000,518500,3600,1700,2700000
193,loicsuberville,2400000,458100,1600,5200,2400000
194,lana_mohd89,4100000,293400,3700,2600,4100000
195,bigtugg,2000000,444000,3100,5300,2000000
196,jvke,3700000,582200,2100,1300,3700000
197,bayashi.tiktok,4400000,492000,2600,786,4400000
198,bilalahy,2200000,492000,1900,4700,2200000
199,spicyycam_,4200000,414100,2800,1300,4200000
200,duythamchannel,5000000,492500,2200,708,5000000
201,fedevigevani,4000000,457200,2700,1100,4000000
202,korectiion,3000000,376800,4300,1700,3000000
203,theovon,3100000,320800,1100,5600,3100000
204,dafnnejm,3700000,667900,1400,1300,3700000
205,boomershroomer,4100000,286400,2400,3200,4100000
206,abir.sag,4300000,302800,2800,2300,4300000
207,iamprisleeciyi,2300000,522900,1200,4200,2300000
208,mikaylahau,3600000,313500,4600,1100,3600000
209,ranboolive,1800000,414800,7000,1600,1800000
210,fadiljaidi,3500000,390700,2900,1800,3500000
211,diiegospyckerzs,2800000,154500,3000,11800,2800000
212,sonyakisa8,3500000,287700,1000,5300,3500000
213,dbl_n,3600000,392900,2400,2100,3600000
214,gavincasalegno,2200000,394700,5300,1900,2200000
215,gordeewa__13,5400000,293700,3200,722,5400000
216,guide_smis,13100000,299200,435,1200,13100000
217,lucasmonteirosg,3800000,469400,1800,1700,3800000
218,dasigantung,4600000,648500,842,1300,4600000
219,vanessalopesr,3400000,327800,3600,1900,3400000
220,alexitoxedits,1600000,467100,3900,4400,1600000
221,bretmanrock,2900000,599900,2000,1400,2900000
222,brodywellmaker,3000000,430300,3600,1000,3000000
223,jamescharles,4200000,356400,2900,1100,4200000
224,pablitocastilloo,2000000,234700,1800,10800,2000000
225,jindaouis,3400000,492200,1600,1900,3400000
226,readyfredi,1600000,364000,3800,6600,1600000
227,ive.official,2400000,355600,4100,2700,2400000
228,hannahbahng,1700000,479400,5800,1300,1700000
229,realnikocadoavocado,3400000,131000,6900,6000,3400000
230,_andrewcurtiss,2000000,341900,5500,2900,2000000
231,datvilla94,2700000,192000,8600,2600,2700000
232,santiperezvivas,2500000,418300,1800,3800,2500000
233,sucss.s,3200000,539900,2500,755,3200000
234,thalita_karter,3400000,200200,1200,6900,3400000
235,davidcstt_,3500000,480500,1900,1400,3500000
236,strangehumano,3800000,400800,2400,1100,3800000
237,gregisms,1400000,235800,4300,12300,1400000
238,matheuscllaus,2700000,340100,2300,3700,2700000
239,halinhofficial,4100000,346500,2400,1400,4100000
240,kaan.etm,1600000,411500,3400,4700,1600000
241,nicocaponecomedy,4600000,317300,1400,2300,4600000
242,aitch12,3500000,351400,2100,2300,3500000
243,kirbyquimado,2100000,274900,1500,7600,2100000
244,brycehall,4800000,497800,1500,711,4800000
245,straange_56guuuuy,1500000,276600,2200,10800,1500000
246,emillyvickof,5400000,444800,1400,799,5400000
247,datdo0803,3700000,368200,2600,1100,3700000
248,darianrojasc,3300000,542400,2400,440,3300000
249,nicolassturniolo,2500000,412100,4400,582,2500000
250,ricardogaeta_,2100000,232000,4900,5300,2100000
251,giovannibonaccinii_,2200000,317600,3000,4100,2200000
252,girlsgeneration.official,2700000,355200,2900,2400,2700000
253,eupereiraoficial,3600000,395700,1300,2100,3600000
254,sabrinacarpenter,3200000,346500,3300,1200,3200000
255,leymarbrown,2000000,251500,2600,7100,2000000
256,ferxxo444,3100000,381700,1500,2600,3100000
257,itsqcp,3900000,529100,1400,948,3900000
258,tooturnttony,3700000,355500,2600,1100,3700000
259,theodortytb,2600000,563300,2500,773,2600000
260,drewafualo,2000000,322100,6500,977,2000000
261,xoang_xa,2100000,475000,2900,1800,2100000
262,runabyte,2100000,573200,1800,2200,2100000
263,notshanebennett,2600000,589400,1200,1900,2600000
264,shadisrour,3200000,196400,2300,5200,3200000
265,ninonrambaud,4100000,441500,1500,1100,4100000
266,kyleechoi,1800000,483500,3000,2300,1800000
267,eljuandiduque,1800000,171300,1500,13400,1800000
268,minami.0819,2000000,187100,9700,2400,2000000
269,raredoodle,3200000,370100,2400,1500,3200000
270,benyaparimm,3600000,186100,1500,5200,3600000
271,thehypehouse,3200000,441700,2700,523,3200000
272,livvy,3100000,397900,2300,1400,3100000
273,choega,2100000,348200,4100,2000,2100000
274,cerenyaldz,4400000,184100,4800,712,4400000
275,miichaelltran,2500000,442700,2300,1800,2500000
276,dunkmvp,3500000,405700,1400,1800,3500000
277,jimena.jimenezr,3300000,521100,959,1600,3300000
278,tangozilla,2200000,467500,1300,3000,2200000
279,melfouad,2400000,209400,2100,6600,2400000
280,t22felton,2800000,303500,3100,2000,2800000
281,bu_kre_sabi,5100000,255200,659,2600,5100000
282,lucasvarelaaaa,2000000,282000,810,6700,2000000
283,mndiaye_97,2200000,443700,2500,1900,2200000
284,jessechrisss,8900000,471000,775,223,8900000
285,n.vv3,2900000,149600,2300,7400,2900000
286,tammyhembrow,3800000,429500,1300,1300,3800000
287,jackjos3ph,2100000,323100,2500,3800,2100000
288,paulo_victormelo2,4700000,447900,815,1200,4700000
289,phatnail,3300000,333900,3200,583,3300000
290,straykids_japan,1000000,344900,7600,3900,1000000
291,fwm.kalebb,2000000,306400,4500,2300,2000000
292,cookiepuentee,1400000,336800,1800,6600,1400000
293,andy.and.michelle,2600000,336300,1400,3400,2600000
294,elpelaromerook,1400000,161500,696,17200,1400000
295,leaelui,3900000,596400,654,1100,3900000
296,zeinabharake,3500000,492100,1700,673,3500000
297,augustogimenez,4100000,608800,1000,605,4100000
298,thefashioncouple,3100000,189000,6600,303,3100000
299,ria_d3miri,2300000,270900,4900,1500,2300000
300,brittikitty,3100000,433300,1200,1700,3100000
301,mieayamthebstt,3500000,275500,2500,1500,3500000
302,cryingben,2000000,442000,3700,764,2000000
303,keniaos,2000000,341800,4100,1500,2000000
304,okunonolife,3000000,318200,1000,2900,3000000
305,camxnie,1900000,323600,1000,5300,1900000
306,loewhaley,2500000,211200,1000,6100,2500000
307,vicblends,2700000,523900,1800,836,2700000
308,meganfitton6,2000000,315300,1600,4400,2000000
309,renpc_,1600000,339300,1600,5300,1600000
310,christophersturniolo,1600000,361200,5000,1300,1600000
311,snoopdogg,3700000,168100,2700,3300,3700000
312,mdmotivator,3000000,424900,1800,1000,3000000
313,naimdarrechi,2300000,228400,1100,6000,2300000
314,iamsungstarwin,4700000,651900,653,532,4700000
315,kopke613,1600000,222100,3300,6900,1600000
316,esen_alva,1600000,328200,1100,5800,1600000
317,grillervm,2500000,371200,1300,2600,2500000
318,jerellware,2200000,433900,1500,2300,2200000
319,jimmydarts,2600000,506000,2100,643,2600000
320,vienvibi_899,4000000,375800,2000,394,4000000
321,noguidnce,2200000,430600,2100,1800,2200000
322,lachama4_ff,2700000,363000,3400,318,2700000
323,sonrixs_,4000000,534400,1000,642,4000000
324,vincentgiganteee,2100000,300900,1600,3900,2100000
325,jerofreixas,1900000,184900,1400,8700,1900000
326,madamsoniia,6400000,474600,635,509,6400000
327,cznburak,4600000,228400,2300,978,4600000
328,la.maraaa,2900000,376900,2200,904,2900000
